sequence,frame,event_type,gt_id,res_id,score,details
02,1193,missed_gt_object,123,,0,
02,1194,one_gt_to_many_results_split,123,"4363,13727",,2 result labels cover one GT marker/segment.
02,1562,missed_gt_object,139,,0,
02,57,id_switch,1,3,,Previous result label was 1 at frame 56.
02,65,id_switch,1,13520,,Previous result label was 3 at frame 64.
02,66,id_switch,1,342,,Previous result label was 13520 at frame 65.
02,67,id_switch,1,316,,Previous result label was 342 at frame 66.
02,68,id_switch,1,343,,Previous result label was 316 at frame 67.
02,69,id_switch,1,317,,Previous result label was 343 at frame 68.
02,70,id_switch,1,344,,Previous result label was 317 at frame 69.
02,71,id_switch,1,318,,Previous result label was 344 at frame 70.
02,72,id_switch,1,345,,Previous result label was 318 at frame 71.
02,73,id_switch,1,319,,Previous result label was 345 at frame 72.
02,74,id_switch,1,346,,Previous result label was 319 at frame 73.
02,75,id_switch,1,320,,Previous result label was 346 at frame 74.
02,76,id_switch,1,347,,Previous result label was 320 at frame 75.
02,77,id_switch,1,321,,Previous result label was 347 at frame 76.
02,78,id_switch,1,348,,Previous result label was 321 at frame 77.
02,79,id_switch,1,322,,Previous result label was 348 at frame 78.
02,80,id_switch,1,349,,Previous result label was 322 at frame 79.
02,81,id_switch,1,323,,Previous result label was 349 at frame 80.
02,82,id_switch,1,350,,Previous result label was 323 at frame 81.
02,83,id_switch,1,324,,Previous result label was 350 at frame 82.
02,84,id_switch,1,351,,Previous result label was 324 at frame 83.
02,85,id_switch,1,325,,Previous result label was 351 at frame 84.
02,86,id_switch,1,352,,Previous result label was 325 at frame 85.
02,87,id_switch,1,326,,Previous result label was 352 at frame 86.
02,88,id_switch,1,353,,Previous result label was 326 at frame 87.
02,89,id_switch,1,327,,Previous result label was 353 at frame 88.
02,90,id_switch,1,354,,Previous result label was 327 at frame 89.
02,91,id_switch,1,328,,Previous result label was 354 at frame 90.
02,92,id_switch,1,355,,Previous result label was 328 at frame 91.
02,93,id_switch,1,329,,Previous result label was 355 at frame 92.
02,94,id_switch,1,356,,Previous result label was 329 at frame 93.
02,95,id_switch,1,330,,Previous result label was 356 at frame 94.
02,96,id_switch,1,357,,Previous result label was 330 at frame 95.
02,97,id_switch,1,331,,Previous result label was 357 at frame 96.
02,98,id_switch,1,358,,Previous result label was 331 at frame 97.
02,99,id_switch,1,332,,Previous result label was 358 at frame 98.
02,100,id_switch,1,359,,Previous result label was 332 at frame 99.
02,101,id_switch,1,333,,Previous result label was 359 at frame 100.
02,102,id_switch,1,360,,Previous result label was 333 at frame 101.
02,103,id_switch,1,334,,Previous result label was 360 at frame 102.
02,104,id_switch,1,361,,Previous result label was 334 at frame 103.
02,105,id_switch,1,335,,Previous result label was 361 at frame 104.
02,106,id_switch,1,362,,Previous result label was 335 at frame 105.
02,107,id_switch,1,336,,Previous result label was 362 at frame 106.
02,108,id_switch,1,363,,Previous result label was 336 at frame 107.
02,109,id_switch,1,337,,Previous result label was 363 at frame 108.
02,110,id_switch,1,364,,Previous result label was 337 at frame 109.
02,111,id_switch,1,338,,Previous result label was 364 at frame 110.
02,112,id_switch,1,365,,Previous result label was 338 at frame 111.
02,113,id_switch,1,339,,Previous result label was 365 at frame 112.
02,114,id_switch,1,366,,Previous result label was 339 at frame 113.
02,115,id_switch,1,340,,Previous result label was 366 at frame 114.
02,116,id_switch,1,367,,Previous result label was 340 at frame 115.
02,117,id_switch,1,341,,Previous result label was 367 at frame 116.
02,118,id_switch,1,368,,Previous result label was 341 at frame 117.
02,0,fragmented_gt_track,1,"1,3,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,13520",,GT track matched 56 result IDs over time.
02,57,id_switch,5,13519,,Previous result label was 2 at frame 56.
02,58,id_switch,5,312,,Previous result label was 13519 at frame 57.
02,59,id_switch,5,305,,Previous result label was 312 at frame 58.
02,60,id_switch,5,313,,Previous result label was 305 at frame 59.
02,61,id_switch,5,306,,Previous result label was 313 at frame 60.
02,62,id_switch,5,314,,Previous result label was 306 at frame 61.
02,63,id_switch,5,307,,Previous result label was 314 at frame 62.
02,64,id_switch,5,315,,Previous result label was 307 at frame 63.
02,65,id_switch,5,308,,Previous result label was 315 at frame 64.
02,0,fragmented_gt_track,5,"2,305,306,307,308,312,313,314,315,13519",,GT track matched 10 result IDs over time.
02,158,id_switch,6,7,,Previous result label was 13521 at frame 157.
02,164,id_switch,6,13526,,Previous result label was 7 at frame 163.
02,165,id_switch,6,474,,Previous result label was 13526 at frame 164.
02,166,id_switch,6,378,,Previous result label was 474 at frame 165.
02,167,id_switch,6,475,,Previous result label was 378 at frame 166.
02,168,id_switch,6,379,,Previous result label was 475 at frame 167.
02,169,id_switch,6,476,,Previous result label was 379 at frame 168.
02,170,id_switch,6,380,,Previous result label was 476 at frame 169.
02,171,id_switch,6,477,,Previous result label was 380 at frame 170.
02,172,id_switch,6,381,,Previous result label was 477 at frame 171.
02,174,id_switch,6,9,,Previous result label was 381 at frame 173.
02,176,id_switch,6,382,,Previous result label was 9 at frame 175.
02,177,id_switch,6,547,,Previous result label was 382 at frame 176.
02,178,id_switch,6,383,,Previous result label was 547 at frame 177.
02,179,id_switch,6,426,,Previous result label was 383 at frame 178.
02,180,id_switch,6,384,,Previous result label was 426 at frame 179.
02,210,id_switch,6,10,,Previous result label was 384 at frame 209.
02,231,id_switch,6,390,,Previous result label was 10 at frame 230.
02,233,id_switch,6,13537,,Previous result label was 390 at frame 232.
